hold12 armed
4.066129 ch00 8100
4.066771 ch00 7E00
4.067808 ch01 8100
4.068426 ch01 7E00
4.069487 ch02 8100
4.070105 ch02 7E00
4.071133 ch03 8100
4.071760 ch03 7E00
4.072813 ch04 8100
4.073438 ch04 7E00
4.074467 ch05 8100
4.075085 ch05 7E00
4.076144 ch06 8100
4.076761 ch06 7E00
4.077798 ch07 8100
4.078444 ch07 7E00
4.079480 ch08 8100
4.080098 ch08 7E00
4.081127 ch09 8100
4.081774 ch09 7E00
4.082803 ch10 8100
4.083421 ch10 7E00
4.084482 ch11 8100
4.085100 ch11 7E00
4.086136 ch12 8100
4.086754 ch12 7E00
4.087816 ch13 8100
4.088434 ch13 7E00
4.089462 ch14 8100
4.090114 ch14 7E00
4.091142 ch15 8100
4.091768 ch15 7E00
4.092796 ch16 8100
4.093442 ch16 7E00
4.094478 ch17 8100
4.095096 ch17 7E00
4.096155 ch18 8100
4.096773 ch18 7E00
4.097801 ch19 8100
4.098427 ch19 7E00
4.099483 ch20 8100
4.100110 ch20 7E00
4.101138 ch21 8100
4.101756 ch21 7E00
4.102817 ch22 8100
4.103435 ch22 7E00
4.104472 ch23 8100
4.105114 ch23 7E00
4.106151 ch24 8100
4.106769 ch24 7E00
4.107797 ch25 8100
4.108451 ch25 7E00
4.109479 ch26 8100
4.110097 ch26 7E00
4.111155 ch27 8100
4.111773 ch27 7E00
4.112811 ch28 8100
4.113428 ch28 7E00
4.114490 ch29 8100
4.115108 ch29 7E00
4.116136 ch30 8100
4.116759 ch30 7E00
4.117812 ch31 8100
4.118435 ch31 7E00
4.119464 ch32 8100
4.120106 ch32 7E00
4.121143 ch33 8100
4.121761 ch33 7E00
4.122822 ch34 8100
4.123440 ch34 7E00
4.124474 ch35 8100
4.125092 ch35 7E00
4.126148 ch36 8100
4.126775 ch36 7E00
4.127803 ch37 8100
4.128421 ch37 7E00
4.129479 ch38 8100
4.130097 ch38 7E00
4.131130 ch39 8100
4.131776 ch39 7E00
4.132813 ch40 8100
4.133431 ch40 7E00
4.134459 ch41 8100
4.135113 ch41 7E00
4.136141 ch42 8100
4.136768 ch42 7E00
4.137821 ch43 8100
4.138439 ch43 7E00
4.139475 ch44 8100
4.140093 ch44 7E00
4.141158 ch45 8100
4.141775 ch45 7E00
4.142804 ch46 8100
4.143430 ch46 7E00
4.144483 ch47 8100
4.145109 ch47 7E00
4.146138 ch48 8100
4.146783 ch48 7E00
4.147816 ch49 8100
4.148434 ch49 7E00
4.149496 ch50 8100
4.150114 ch50 7E00
4.151151 ch51 8100
4.151769 ch51 7E00
4.152822 ch52 8100
4.153445 ch52 7E00
4.154473 ch53 8100
4.155091 ch53 7E00
4.156152 ch54 8100
4.156770 ch54 7E00
4.157807 ch55 8100
4.158450 ch55 7E00
4.159486 ch56 8100
4.160104 ch56 7E00
4.161132 ch57 8100
4.161784 ch57 7E00
4.162813 ch58 8100
4.163439 ch58 7E00
4.164495 ch59 8100
4.165113 ch59 7E00
4.166147 ch60 8100
4.166765 ch60 7E00
4.167826 ch61 8100
4.168444 ch61 7E00
4.169472 ch62 8100
4.170098 ch62 7E00
4.171151 ch63 8100
4.171777 ch63 7E00
5.859349 ch00 8100
6.030509 ch00 7E00
PRESS 20.003016093939
20.005831 ch00 8100
20.006313 ch01 8100
RELEASE 32.014193938405
32.142419 ch00 7E00
32.142481 ch01 7E00
DONE
