# START/STOP ok=true
# LH chord C2-E2-G2
# RH 6-note chord
# PEAK simultaneous gated voices = 64 at t=31.904
HIST  0 64
HIST  1 132
HIST  2 2
HIST  3 2
HIST  4 1
HIST  5 3
HIST  6 1
HIST  7 3
HIST  8 1
HIST  9 3
HIST 10 2
HIST 11 2
HIST 12 2
HIST 13 2
HIST 14 2
HIST 15 2
HIST 16 2
HIST 17 2
HIST 18 2
HIST 19 2
HIST 20 2
HIST 21 2
HIST 22 1
HIST 23 3
HIST 24 1
HIST 25 3
HIST 26 1
HIST 27 3
HIST 28 1
HIST 29 3
HIST 30 1
HIST 31 3
HIST 32 1
HIST 33 3
HIST 34 2
HIST 35 2
HIST 36 2
HIST 37 2
HIST 38 2
HIST 39 2
HIST 40 2
HIST 41 2
HIST 42 2
HIST 43 2
HIST 44 2
HIST 45 2
HIST 46 2
HIST 47 2
HIST 48 2
HIST 49 2
HIST 50 2
HIST 51 2
HIST 52 2
HIST 53 2
HIST 54 2
HIST 55 2
HIST 56 2
HIST 57 2
HIST 58 2
HIST 59 2
HIST 60 2
HIST 61 2
HIST 62 2
HIST 63 2
HIST 64 136
# DONE
