page	class	chunk	param_ptr	wave_off	rom_start	rom_end	samples	shared	param_record
0	4	0	0x0318	0x01A3	0x001A30	0x001C30	256	1	
0	4	1	0x031A	0x01C3	0x001C30	0x002730	1408	1	40/00 30/00 20/00 00/c0
0	4	2	0x0324	0x0273	0x002730	0x003030	1152	1	40/00 30/00 20/00
0	4	3	0x032C	0x0303	0x003030	0x0035B0	704	1	40/00 30/00 20/00 00/c0
0	4	4	0x0336	0x035B	0x0035B0	0x0039B0	512	1	40/00
0	4	5	0x033A	0x039B	0x0039B0	0x003EB0	640	1	40/00
0	4	6	0x033E	0x03EB	0x003EB0	0x004230	448	1	40/00
0	4	7	0x0342	0x0423	0x004230	0x004370	160	1	40/00
0	4	8	0x0346	0x0437	0x004370	0x004410	80	1	fd/00
0	4	9	0x034A	0x0441	0x004410	0x004510	128	1	fe/01 40/00
0	4	10	0x0350	0x0451	0x004510	0x004A10	640	1	40/c0
0	4	11	0x0354	0x04A1	0x004A10	0x004F10	640	1	40/00
0	4	12	0x0358	0x04F1	0x004F10	0x005290	448	1	40/00
0	4	13	0x035C	0x0529	0x005290	0x005690	512	1	40/c0
0	4	14	0x0360	0x0569	0x005690	0x005C10	704	1	40/00
0	4	15	0x0364	0x05C1	0x005C10	0x005FD0	480	1	40/00
0	4	16	0x0368	0x05FD	0x005FD0	0x0064D0	640	1	40/c0
0	4	17	0x036C	0x064D	0x0064D0	0x006BD0	896	1	40/00
0	4	18	0x0370	0x06BD	0x006BD0	0x0070D0	640	1	00/c0
0	4	19	0x0374	0x070D	0x0070D0	0x0073D0	384	1	40/00
0	4	20	0x0378	0x073D	0x0073D0	0x0082D0	1920	1	40/00 30/00
0	4	21	0x037E	0x082D	0x0082D0	0x008AD0	1024	1	40/00 30/00
0	4	22	0x0384	0x08AD	0x008AD0	0x0092D0	1024	1	40/00 30/00
0	4	23	0x038A	0x092D	0x0092D0	0x009750	576	1	40/00 30/c0
0	4	24	0x0390	0x0975	0x009750	0x009D50	768	1	40/00 30/c0
0	4	25	0x0396	0x09D5	0x009D50	0x00A650	1152	1	40/00 30/00
