set_idx	sub_addr	region_off	flags	stride	ptrA	ptrB	ptrC	kmin	kmax	root	basepitch	n_zones	zones(lo-hi:class:entry)	finetune(E:hex)
0	077914	57914	80	6	07B09D	07B0C4	07AF1D	0C	78	42	4280	17	0-35:7:000;36-39:7:001;40-43:7:002;44-47:7:003;48-51:7:004;52-55:7:005;56-59:7:006;60-63:7:007;64-67:7:017;68-71:7:018;72-75:7:019;76-79:7:01A;80-83:7:01B;84-87:7:01C;88-91:7:01D;92-95:7:01E;96-127:7:01F	0:00f7cef2;1:00ee4ef9;2:00f7bdf4;3:00f270f0;4:00ee68f8;5:00f45df5;6:00e924f1;7:00f041f8;8:00f141f8;9:00eb6cf5;10:00f3a4f0;11:00f42df9;12:00f826f6;13:00f133f2;14:00f934f8;15:00ef42f4;16:00f747f2
1	077923	57923	80	6	07DD2E	07DD55	07AF1D	0C	78	42	4280	16	0-35:7:000;36-39:7:001;40-43:7:002;44-47:7:003;48-51:7:004;52-55:7:005;56-59:7:006;60-63:7:007;64-67:7:008;68-71:7:009;72-75:7:00A;76-79:7:00B;80-83:7:00C;84-87:7:00D;88-91:7:00E;92-127:7:00F	0:00f7cef2;1:00ee4ef9;2:00f7bdf4;3:00f270f0;4:00ee68f8;5:00f45df5;6:00e924f1;7:00f041f8;8:00ea6cf5;9:00efa4f0;10:00f12df9;11:00f326f6;12:00f033f2;13:00f134f8;14:00ed42f4;15:00f347f2
2	077932	57932	80	6	081203	08122A	07AF1D	0C	78	42	4280	16	0-35:7:010;36-39:7:011;40-43:7:012;44-47:7:013;48-51:7:014;52-55:7:015;56-59:7:016;60-63:7:017;64-67:7:018;68-71:7:019;72-75:7:01A;76-79:7:01B;80-83:7:01C;84-87:7:01D;88-91:7:01E;92-127:7:01F	0:00efcef2;1:00ec4ef9;2:00f3bdf4;3:00ee70f0;4:00eb68f8;5:00e95df5;6:00ee24f1;7:00f141f8;8:00eb6cf5;9:00f3a4f0;10:00f42df9;11:00f826f6;12:00f133f2;13:00f934f8;14:00ef42f4;15:00f747f2
3	077941	57941	80	6	081BF4	081C03	07AD9D	0C	60	42	4280	1	0-127:4:099	0:00f01d02
4	077950	57950	80	6	07B12A	07B151	07AF1D	0C	78	42	4280	17	0-35:7:010;36-39:7:010;40-43:7:011;44-47:7:012;48-51:7:013;52-55:7:014;56-59:7:015;60-63:7:016;64-67:7:017;68-71:7:018;72-75:7:019;76-79:7:01A;80-83:7:01B;84-87:7:01C;88-91:7:01D;92-95:7:01E;96-127:7:01F	0:00efcef2;1:00efcef2;2:00ec4ef9;3:00f3bdf4;4:00ee70f0;5:00eb68f8;6:00e95df5;7:00ee24f1;8:00f141f8;9:00eb6cf5;10:00f3a4f0;11:00f42df9;12:00f826f6;13:00f133f2;14:00f934f8;15:00ef42f4;16:00f747f2
5	07795F	5795F	80	6	07DDB5	07DDDC	07AF1D	0C	78	42	4280	17	0-35:7:000;36-39:7:000;40-43:7:001;44-47:7:002;48-51:7:003;52-55:7:004;56-59:7:005;60-63:7:006;64-67:7:007;68-71:7:008;72-75:7:009;76-79:7:00A;80-83:7:00B;84-87:7:00C;88-91:7:00D;92-95:7:00E;96-127:7:00F	0:00f7cef2;1:00f7cef2;2:00ee4ef9;3:00f7bdf4;4:00f270f0;5:00ee68f8;6:00f45df5;7:00e924f1;8:00f041f8;9:00ea6cf5;10:00efa4f0;11:00f12df9;12:00f326f6;13:00f033f2;14:00f134f8;15:00ed42f4;16:00f347f2
6	07796E	5796E	80	6	08059C	08060C	07B01D	0C	78	42	4280	11	0-39:2:001;40-44:2:002;45-51:2:003;52-57:2:004;58-63:2:005;64-69:2:006;70-74:2:007;75-79:2:008;80-86:2:009;87-92:2:00A;93-127:2:00B	0:00f9eafc;1:00f91ff9;2:00f728fe;3:00f81bf7;4:00f50efe;5:00fa11f8;6:00001afe;7:00fd06f9;8:000310f3;9:000215f9;10:00fc1af3
7	07797D	5797D	80	6	081C09	081C18	07AD9D	18	56	42	4280	1	0-127:4:09A	0:00fc1dec
8	07798C	5798C	80	6	07B1B7	07B227	07B01D	0C	6C	42	4280	8	0-45:2:00C;46-50:2:00D;51-56:2:00E;57-63:2:00F;64-69:2:010;70-76:2:011;77-84:2:012;85-127:2:013	0:00f369fe;1:00f296fe;2:00f6def9;3:00f446ff;4:00f977f8;5:00fa19fe;6:00fa0af5;7:00f64800
9	07799B	5799B	00	4	07B257	07B2C7	07B01D	0C	72	42	4280	14	0-23:2:053;24-35:2:053;36-43:2:052;44-47:2:055;48-50:2:054;51-57:2:056;58-59:2:058;60-65:2:057;66-71:2:059;72-74:2:05A;75-80:2:05B;81-83:2:05C;84-95:2:05D;96-127:2:05E	0:80f4;1:00f4;2:00f4;3:00ee;4:00ee;5:00fb;6:00f9;7:00f9;8:00fa;9:00fa;10:00fe;11:00fc;12:00fc;13:00fc
