patch	name	type	partial_mask	partial	block_addr	region_off	fine	set	vsel_addr	vel_splits	set_idx_per_velzone
0	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
0	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
1	  Bright Piano  	10	05	0	052642	32642	00	01	076ABA	7F/7F/7F	1/1/1/1
1	  Bright Piano  	10	05	1	052693	32693	00	05	076AC5	7F/7F/7F	2/2/2/2
2	  Mellow Piano  	10	05	0	05274A	3274A	00	01	076ABA	7F/7F/7F	1/1/1/1
2	  Mellow Piano  	10	05	1	05279B	3279B	00	05	076AC5	7F/7F/7F	2/2/2/2
3	 Piano 1 Octave 	10	05	0	052852	32852	00	00	076AA4	7F/7F/7F	0/0/0/0
3	 Piano 1 Octave 	10	05	1	0528A3	328A3	00	00	076AA4	7F/7F/7F	0/0/0/0
4	 Piano 2 Octave 	10	05	0	05295A	3295A	00	00	076AA4	7F/7F/7F	0/0/0/0
4	 Piano 2 Octave 	10	05	1	0529AB	329AB	00	00	076AA4	7F/7F/7F	0/0/0/0
5	   Rock Piano   	10	01	0	052A62	32A62	01	04	076AE6	7F/7F/7F	6/6/6/6
6	Honky-Tonk Piano	10	05	0	052B19	32B19	00	00	076AA4	7F/7F/7F	0/0/0/0
6	Honky-Tonk Piano	10	05	1	052B6A	32B6A	00	00	076AA4	7F/7F/7F	0/0/0/0
7	 Electric Grand 	10	05	0	052C21	32C21	03	00	076AFC	7F/7F/7F	8/8/8/8
7	 Electric Grand 	10	05	1	052C72	32C72	03	00	076AFC	7F/7F/7F	8/8/8/8
8	   Midi Grand   	10	15	0	052D29	32D29	00	00	076AA4	7F/7F/7F	0/0/0/0
8	   Midi Grand   	10	15	1	052D7A	32D7A	06	00	076B49	3B/4F/63	22/23/19/24
8	   Midi Grand   	10	15	2	052DCB	32DCB	06	00	076B49	3B/4F/63	22/23/19/24
9	   E.Piano 1    	10	01	0	052E82	32E82	05	00	076B12	3C/50/64	13/15/11/16
10	   E.Piano 2    	10	01	0	052F39	32F39	05	01	076B28	59/7F/7F	14/12/12/12
11	 Suitcase E.P.  	10	01	0	052FF0	32FF0	04	00	076B07	59/6D/7F	9/10/12/9
12	Tremolo E.Piano 	10	05	0	0530A7	330A7	04	00	076B07	59/6D/7F	9/10/12/9
12	Tremolo E.Piano 	10	05	1	0530F8	330F8	04	00	076B07	59/6D/7F	9/10/12/9
13	 Wurly E.Piano  	10	11	0	0531AF	331AF	04	00	076B07	59/6D/7F	9/10/12/9
13	 Wurly E.Piano  	10	11	1	053200	33200	7A	07	077885	4B/66/7F	324/325/327/327
14	  Modern E.P.1  	10	01	0	0532B7	332B7	06	00	076B49	3B/4F/63	22/23/19/24
15	  Modern E.P.2  	10	05	0	05336E	3336E	06	01	076B54	7F/7F/7F	20/20/20/20
15	  Modern E.P.2  	10	05	1	0533BF	333BF	06	00	076B49	3B/4F/63	22/23/19/24
16	  Harpsichord   	00	45	0	053476	33476	10	02	076C30	7F/7F/7F	42/42/42/42
16	  Harpsichord   	00	45	1	0534C7	334C7	10	00	076C1A	7F/7F/7F	41/41/41/41
16	  Harpsichord   	00	45	2	053518	33518	1F	80	076DA6	7F/7F/7F	81/81/81/81
17	    Cembalo     	00	55	0	0535CF	335CF	10	00	076C1A	7F/7F/7F	41/41/41/41
17	    Cembalo     	00	55	1	053620	33620	10	02	076C30	7F/7F/7F	42/42/42/42
17	    Cembalo     	00	55	2	053671	33671	10	00	076C1A	7F/7F/7F	41/41/41/41
17	    Cembalo     	00	55	3	0536C2	336C2	1F	80	076DA6	7F/7F/7F	81/81/81/81
18	     Clavi      	30	41	0	053779	33779	11	00	076C3B	7F/7F/7F	45/45/45/45
18	     Clavi      	30	41	1	0537CA	337CA	1F	84	076DD2	7F/7F/7F	82/82/82/82
19	  Synth Clavi   	30	01	0	053881	33881	73	00	077767	7F/7F/7F	303/303/303/303
20	  Glockenspiel  	00	11	0	053938	33938	09	00	076B96	7F/7F/7F	29/29/29/29
20	  Glockenspiel  	00	11	1	053989	33989	57	80	0774E9	7F/7F/7F	245/245/245/245
21	   Vibraphone   	00	11	0	053A40	33A40	08	00	076B8B	7F/7F/7F	28/28/28/28
21	   Vibraphone   	00	11	1	053A91	33A91	0E	01	076BEE	7F/7F/7F	37/37/37/37
22	Vibes&JazzGuitar	00	05	0	053B48	33B48	08	00	076B8B	7F/7F/7F	28/28/28/28
22	Vibes&JazzGuitar	00	05	1	053B99	33B99	19	00	076D01	7F/7F/7F	63/63/63/63
23	    Marimba     	00	01	0	053C50	33C50	0A	00	076BA1	7F/7F/7F	30/30/30/30
24	   Xylophone    	00	01	0	053D07	33D07	0B	00	076BAC	7F/7F/7F	31/31/31/31
25	    Celesta     	00	01	0	053DBE	33DBE	0C	00	076BB7	7F/7F/7F	32/32/32/32
26	 Tubular Bells  	10	01	0	053E75	33E75	0E	00	076BE3	7F/7F/7F	36/36/36/36
27	    Carillon    	10	01	0	053F2C	33F2C	0E	04	076BF9	7F/7F/7F	38/38/38/38
28	   Wind Chime   	10	05	0	053FE3	33FE3	0E	01	076BEE	7F/7F/7F	37/37/37/37
28	   Wind Chime   	10	05	1	054034	34034	0E	01	076BEE	7F/7F/7F	37/37/37/37
29	 Bottle Marimba 	00	01	0	0540EB	340EB	0D	00	076BD8	7F/7F/7F	35/35/35/35
