sel	class	entry	C_modal	n_distinct	key_weight	all_C
0000	0	000	0	1	562	0:562
0002	0	002	0	2	256	0:128;2756:128
0003	0	003	0	1	54	0:54
0004	0	004	0	1	6	0:6
0005	0	005	0	1	6	0:6
0006	0	006	0	1	6	0:6
0007	0	007	0	1	6	0:6
0008	0	008	0	1	10	0:10
0009	0	009	0	1	94	0:94
000A	0	00A	0	1	42	0:42
000B	0	00B	0	1	6	0:6
000C	0	00C	0	1	6	0:6
000D	0	00D	0	1	6	0:6
000E	0	00E	0	1	6	0:6
000F	0	00F	0	1	6	0:6
0010	0	010	0	1	6	0:6
0011	0	011	0	1	12	0:12
0012	0	012	0	1	72	0:72
0013	0	013	0	1	60	0:60
0014	0	014	0	1	12	0:12
0015	0	015	0	1	6	0:6
0016	0	016	0	1	4	0:4
0017	0	017	0	1	6	0:6
0018	0	018	0	1	14	0:14
0019	0	019	0	1	54	0:54
001A	0	01A	0	1	6	0:6
001B	0	01B	0	1	6	0:6
001C	0	01C	0	1	6	0:6
001D	0	01D	1536	2	134	0:6;1536:128
001E	0	01E	0	1	12	0:12
001F	0	01F	0	1	9	0:9
0020	0	020	0	1	42	0:42
0021	0	021	0	1	6	0:6
0022	0	022	0	1	6	0:6
0023	0	023	0	1	6	0:6
0024	0	024	0	1	6	0:6
0025	0	025	0	1	6	0:6
0026	0	026	0	1	6	0:6
0027	0	027	0	1	12	0:12
0028	0	028	0	1	42	0:42
0029	0	029	0	1	6	0:6
002A	0	02A	0	1	6	0:6
002B	0	02B	0	1	6	0:6
002C	0	02C	0	1	6	0:6
002D	0	02D	0	1	6	0:6
002E	0	02E	0	1	6	0:6
002F	0	02F	0	1	22	0:22
0030	0	030	0	1	42	0:42
0031	0	031	0	1	6	0:6
0032	0	032	0	1	6	0:6
0033	0	033	0	1	6	0:6
0034	0	034	0	1	6	0:6
0035	0	035	0	1	6	0:6
0036	0	036	0	1	6	0:6
0037	0	037	0	1	7	0:7
0038	0	038	0	1	42	0:42
0039	0	039	0	1	6	0:6
003A	0	03A	0	1	6	0:6
003B	0	03B	0	1	6	0:6
003C	0	03C	0	1	6	0:6
003D	0	03D	0	1	6	0:6
003E	0	03E	0	1	6	0:6
003F	0	03F	0	1	7	0:7
0040	0	040	-1312	1	54	-1312:54
0041	0	041	-1312	1	54	-1312:54
0042	0	042	-2979	1	6	-2979:6
0043	0	043	-2979	1	6	-2979:6
0044	0	044	-1241	1	12	-1241:12
0045	0	045	-1241	1	12	-1241:12
0046	0	046	-2159	1	18	-2159:18
0047	0	047	-2159	1	21	-2159:21
0048	0	048	-1718	1	86	-1718:86
0049	0	049	-1718	1	129	-1718:129
004A	0	04A	0	1	61	0:61
004B	0	04B	0	1	19	0:19
004C	0	04C	0	1	72	0:72
004D	0	04D	0	1	17	0:17
004E	0	04E	-1596	1	128	-1596:128
004F	0	04F	0	1	72	0:72
0050	0	050	0	1	10	0:10
0051	0	051	0	1	54	0:54
0052	0	052	0	1	6	0:6
0053	0	053	0	1	6	0:6
0054	0	054	0	1	6	0:6
0055	0	055	0	1	6	0:6
0056	0	056	0	1	6	0:6
0057	0	057	0	1	6	0:6
0058	0	058	0	1	66	0:66
0059	0	059	0	1	12	0:12
005A	0	05A	0	1	6	0:6
005B	0	05B	0	1	4	0:4
005C	0	05C	0	1	24	0:24
005D	0	05D	0	1	78	0:78
005E	0	05E	0	1	50	0:50
005F	0	05F	0	1	54	0:54
0060	0	060	0	1	10	0:10
0061	0	061	0	1	20	0:20
0062	0	062	0	1	8	0:8
0063	0	063	0	1	52	0:52
0064	0	064	0	1	20	0:20
0065	0	065	0	1	12	0:12
0066	0	066	0	1	12	0:12
0067	0	067	0	1	13	0:13
0068	0	068	0	1	112	0:112
0069	0	069	0	1	60	0:60
006A	0	06A	0	1	12	0:12
006B	0	06B	0	1	10	0:10
006C	0	06C	0	1	20	0:20
006D	0	06D	0	1	54	0:54
006E	0	06E	0	1	22	0:22
006F	0	06F	0	1	16	0:16
0070	0	070	4292	1	66	4292:66
0071	0	071	1220	1	18	1220:18
0072	0	072	1220	1	44	1220:44
0073	0	073	-2042	1	47	-2042:47
0074	0	074	-2042	1	47	-2042:47
0075	0	075	-1261	1	8	-1261:8
0076	0	076	-1261	1	8	-1261:8
0077	0	077	-2778	1	6	-2778:6
0078	0	078	-2778	1	6	-2778:6
0079	0	079	-1282	1	6	-1282:6
007A	0	07A	-1282	1	6	-1282:6
007B	0	07B	-2784	1	6	-2784:6
007C	0	07C	-2784	1	6	-2784:6
007D	0	07D	-1297	1	6	-1297:6
007E	0	07E	-1297	1	6	-1297:6
007F	0	07F	-2810	1	6	-2810:6
0080	0	080	-2810	1	6	-2810:6
0081	0	081	-1003	1	34	-1003:34
0082	0	082	-1003	1	135	-1003:135
0083	0	083	-2144	1	47	-2144:47
0084	0	084	-2144	1	47	-2144:47
0085	0	085	-1011	1	6	-1011:6
0086	0	086	-1011	1	6	-1011:6
0087	0	087	-2221	1	6	-2221:6
0088	0	088	-2221	1	6	-2221:6
0089	0	089	-989	1	6	-989:6
008A	0	08A	-989	1	6	-989:6
008B	0	08B	-2498	1	6	-2498:6
008C	0	08C	-2498	1	6	-2498:6
008D	0	08D	-999	1	6	-999:6
008E	0	08E	-999	1	6	-999:6
008F	0	08F	-2552	1	6	-2552:6
0090	0	090	-2552	1	6	-2552:6
0091	0	091	-922	1	135	-922:135
0092	0	092	-922	1	120	-922:120
0093	0	093	0	1	6	0:6
0094	0	094	0	1	36	0:36
0095	0	095	0	1	6	0:6
0096	0	096	0	1	5	0:5
0097	0	097	0	1	5	0:5
0098	0	098	0	1	4	0:4
0099	0	099	0	1	2	0:2
009A	0	09A	0	1	6	0:6
009B	0	09B	0	1	4	0:4
009C	0	09C	0	1	2	0:2
009D	0	09D	0	1	6	0:6
009E	0	09E	0	1	12	0:12
009F	0	09F	0	1	2	0:2
00A0	0	0A0	0	1	32	0:32
00A1	0	0A1	0	1	64	0:64
00A2	0	0A2	0	1	6	0:6
00A3	0	0A3	0	1	6	0:6
00A4	0	0A4	0	1	14	0:14
00A5	0	0A5	0	1	221	0:221
00A7	0	0A7	0	1	62	0:62
00A8	0	0A8	0	1	4	0:4
00A9	0	0A9	0	1	6	0:6
00AA	0	0AA	0	1	5	0:5
00AB	0	0AB	0	1	11	0:11
00AC	0	0AC	0	1	54	0:54
00AD	0	0AD	0	1	6	0:6
00AE	0	0AE	0	1	11	0:11
00AF	0	0AF	0	1	14	0:14
00B0	0	0B0	0	1	42	0:42
00B1	0	0B1	0	1	6	0:6
00B2	0	0B2	0	1	6	0:6
00B3	0	0B3	0	1	6	0:6
00B4	0	0B4	0	1	6	0:6
00B5	0	0B5	0	1	18	0:18
00B6	0	0B6	0	1	36	0:36
00B7	0	0B7	0	1	4	0:4
00B8	0	0B8	0	1	32	0:32
00B9	0	0B9	0	1	102	0:102
00BA	0	0BA	-1237	1	12	-1237:12
00BB	0	0BB	-2761	1	12	-2761:12
00BC	0	0BC	-1275	1	12	-1275:12
00BD	0	0BD	-2819	1	12	-2819:12
00BE	0	0BE	-1285	1	12	-1285:12
00BF	0	0BF	0	1	125	0:125
00C0	0	0C0	-163	1	52	-163:52
00C1	0	0C1	-2060	1	4	-2060:4
00C2	0	0C2	-2782	1	4	-2782:4
00C3	0	0C3	-1251	1	4	-1251:4
00C4	0	0C4	-2030	1	4	-2030:4
00C5	0	0C5	-2803	1	4	-2803:4
00C6	0	0C6	0	1	25	0:25
00C7	0	0C7	0	1	110	0:110
00C8	0	0C8	-783	1	12	-783:12
00C9	0	0C9	-2304	1	12	-2304:12
00CA	0	0CA	-787	1	12	-787:12
00CB	0	0CB	-1201	1	110	-1201:110
00CC	0	0CC	0	1	63	0:63
00CD	0	0CD	0	1	6	0:6
00CE	0	0CE	0	1	59	0:59
00CF	0	0CF	-1114	1	58	-1114:58
00D0	0	0D0	-3755	1	5	-3755:5
00D1	0	0D1	-2389	1	7	-2389:7
00D2	0	0D2	-708	1	4	-708:4
00D3	0	0D3	0	1	54	0:54
00D4	0	0D4	0	2	256	0:128;1536:128
00D5	0	0D5	0	1	85	0:85
1000	1	000	-215	1	50	-215:50
1001	1	001	-1450	1	5	-1450:5
1002	1	002	-2830	1	5	-2830:5
1003	1	003	-989	1	5	-989:5
1004	1	004	-2315	1	5	-2315:5
1005	1	005	-1520	1	21	-1520:21
1006	1	006	-2776	1	48	-2776:48
1007	1	007	-1513	1	6	-1513:6
1008	1	008	-2512	1	6	-2512:6
1009	1	009	-1012	1	6	-1012:6
100A	1	00A	-2799	1	6	-2799:6
100B	1	00B	-1012	1	6	-1012:6
100C	1	00C	0	1	130	0:130
100D	1	00D	-932	1	49	-932:49
100E	1	00E	0	1	5	0:5
100F	1	00F	0	1	19	0:19
1010	1	010	-2877	1	12	-2877:12
1011	1	011	0	1	60	0:60
1012	1	012	0	1	4	0:4
1013	1	013	0	1	6	0:6
1014	1	014	0	1	9	0:9
1015	1	015	0	1	39	0:39
1016	1	016	0	1	742	0:742
1017	1	017	0	1	63	0:63
1018	1	018	0	1	6	0:6
1019	1	019	0	1	6	0:6
101A	1	01A	0	1	12	0:12
101B	1	01B	0	1	62	0:62
101C	1	01C	0	1	5	0:5
101D	1	01D	0	1	5	0:5
101E	1	01E	0	1	6	0:6
101F	1	01F	0	1	19	0:19
1020	1	020	0	1	67	0:67
1021	1	021	0	1	6	0:6
1022	1	022	0	1	4	0:4
1023	1	023	0	1	8	0:8
1024	1	024	0	1	66	0:66
1025	1	025	0	1	9	0:9
1026	1	026	0	1	25	0:25
1027	1	027	0	1	60	0:60
1028	1	028	0	1	6	0:6
1029	1	029	0	1	6	0:6
102A	1	02A	0	1	6	0:6
102B	1	02B	0	1	24	0:24
102C	1	02C	0	1	47	0:47
102D	1	02D	0	1	4	0:4
102E	1	02E	0	1	6	0:6
102F	1	02F	0	1	6	0:6
1030	1	030	0	1	6	0:6
1031	1	031	0	1	3	0:3
1032	1	032	0	1	12	0:12
1033	1	033	0	1	1	0:1
1034	1	034	0	1	48	0:48
1035	1	035	0	1	6	0:6
1036	1	036	0	1	6	0:6
1037	1	037	0	1	6	0:6
1038	1	038	0	1	6	0:6
1039	1	039	0	1	125	0:125
103A	1	03A	0	1	48	0:48
103B	1	03B	-1275	1	3	-1275:3
103C	1	03C	-1797	1	6	-1797:6
