rec	name	partial_mask	partial	fine	set	set_idx	set_addr	(class:entry) used
0	Silent       	01	0	00	40	341	078D0F	0:002
0	Silent       	01	1	00	40	341	078D0F	0:002
1	Square Click 	01	0	00	41	342	078D1E	0:01D
1	Square Click 	01	1	00	41	342	078D1E	0:01D
2	FluteKeyClick	01	0	78	40	486	07958E	4:0A0
2	FluteKeyClick	01	1	78	40	486	07958E	4:0A0
3	Rock Bass Drm	01	0	01	40	343	078D2D	5:022
3	Rock Bass Drm	01	1	01	40	343	078D2D	5:022
4	Room BassDrm1	01	0	02	40	344	078D3C	5:023
4	Room BassDrm1	01	1	02	40	344	078D3C	5:023
5	Room BassDrm2	01	0	02	40	344	078D3C	5:023
5	Room BassDrm2	01	1	02	40	344	078D3C	5:023
6	Jazz BassDrm1	01	0	03	40	345	078D4B	5:024
6	Jazz BassDrm1	01	1	03	40	345	078D4B	5:024
7	Jazz BassDrm2	01	0	03	40	345	078D4B	5:024
7	Jazz BassDrm2	01	1	03	40	345	078D4B	5:024
8	Trad BassDrm1	01	0	04	40	346	078D5A	5:025
8	Trad BassDrm1	01	1	04	40	346	078D5A	5:025
9	Trad BassDrm2	01	0	04	40	346	078D5A	5:025
9	Trad BassDrm2	01	1	04	40	346	078D5A	5:025
10	LtRockBassDrm	01	0	05	40	347	078D69	5:026
10	LtRockBassDrm	01	1	05	40	347	078D69	5:026
11	PowerBassDrm1	01	0	06	40	348	078D78	5:027
11	PowerBassDrm1	01	1	06	40	348	078D78	5:027
12	PowerBassDrm2	01	0	06	40	348	078D78	5:027
12	PowerBassDrm2	01	1	06	40	348	078D78	5:027
13	House BassDrm	01	0	07	40	349	078D87	5:028
13	House BassDrm	01	1	07	40	349	078D87	5:028
14	Soul BassDrm1	01	0	08	40	350	078D96	5:029
14	Soul BassDrm1	01	1	08	40	350	078D96	5:029
15	Dance BassDrm	01	0	09	40	351	078DA5	5:02A
15	Dance BassDrm	01	1	09	40	351	078DA5	5:02A
16	ElectBassDrm1	01	0	0A	40	352	078DB4	5:02B
16	ElectBassDrm1	01	1	0A	40	352	078DB4	5:02B
