=== 241 segments across 12 runs ===
verdicts: FAIL=0  SUSPECT=0  WATCH=0  PASS=241
verdict  run  effect                                   fpeak%FS  clip frail  DACpk  upl  why
PASS     R1   Reverb/Concert2                              11.6     0     0   1663    0  
PASS     R1   Reverb/Dark1                                  8.6     0     0   1256    0  
PASS     R1   Reverb/Plate2                                 8.1     0     0   1223    0  
PASS     R1   Reverb/Room1                                  6.8     0     0   1060    0  
PASS     R1   Chorus/GM Chorus1                             6.6     0     0   1135    0  
PASS     R1   Reverb/Room2                                  6.5     0     0   1055    0  
PASS     R1   Chorus/Chorus3                                6.5     0     0   1132    0  
PASS     R1   Chorus/Chorus1                                6.1     0     0   1135    0  
PASS     R1   Chorus/Chorus2                                5.7     0     0   1135    0  
PASS     R1   Reverb/Dark2                                  5.3     0     0   1135    0  
PASS     M1   Multi/DualDelay/Deep6                         5.2     0     0    899  178  
PASS     S1   SoundDSP/ParametricEQ/Too Bright              5.2     0     0    945  306  
PASS     R1B  Chorus/GM Chorus3                             5.2     0     0    964  594  
PASS     M1   Multi/CrossDelay/Shallow7                     5.2     0     0    964  178  
PASS     M1   Multi/DualDelay/Deep5                         5.2     0     0    964  178  
PASS     M1   Multi/SlowAttacker/Slow Attacker1             5.2     0     0    964  300  
PASS     M2   Multi/Limiter/Limiter2                        5.2     0     0    964  114  
PASS     M2   Multi/Limiter/Limiter3                        5.2     0     0    964  114  
PASS     M2   Multi/DistortedAmp/Loud3                      5.2     0     0    964  633  
PASS     M2   Multi/Fuzz/Normal                             5.2     0     0    964  543  
PASS     M3   Multi/LFOFilter/For 4Beat 2                   5.2     0     0    964  210  
PASS     M4   Multi/ReverseWah/Wah3                         5.2     0     0    964  102  
PASS     M5   Multi/MultiTapDelay/Multi4                    5.2     0     0    964  286  
PASS     M5   Multi/DelayComplex/Delay+Chorus               5.2     0     0    964  728  
PASS     M5   Multi/VocalEffect/Brass simulator3            5.2     0     0    964  540  
PASS     S1   SoundDSP/ParametricEQ/Bass Cut                5.2     0     0    959  306  
PASS     S1   SoundDSP/Mixup/Mixup3                         5.2     0     0    998  210  
PASS     S1   SoundDSP/RingModulator/Ring Mod.3             5.2     0     0    968  186  
PASS     S2   SoundDSP/Vibrato/Vibrato7                     5.2     0     0   1012  198  
PASS     S2   SoundDSP/AutoPan/Auto Pan3                    5.2     0     0    990  210  
PASS     S2   SoundDSP/Tremolo/Tremolo3                     5.2     0     0   1078  186  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 5              5.2     0     0    968  248  
PASS     S4   SoundDSP/Flanger/Deep3                        5.2     0     0   1000  248  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 7               5.2     0     0   1035  222  
PASS     S4   SoundDSP/Phaser/Deep4                         5.2     0     0    986  222  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.5                5.2     0     0    930  186  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.6                5.2     0     0   1143  186  
PASS     S5   SoundDSP/Celeste/Celeste2                     5.2     0     0    993  162  
PASS     S5   SoundDSP/Exciter/Exciter1                     5.2     0     0   1000  528  
PASS     S5   SoundDSP/AutoWah/Wah3                         5.2     0     0   1081  102  
PASS     S2   SoundDSP/Tremolo/Tremolo5                     5.2     0     0   1016  186  
PASS     M1   Multi/CrossDelay/Shallow5                     5.2     0     0    957  178  
PASS     M1   Multi/DualDelay/Deep1                         5.2     0     0    957  471  
PASS     M3   Multi/Overdrive/Hard Compress                 5.2     0     0    957  628  
PASS     M3   Multi/Distortion/Hard Compress                5.2     0     0    957  543  
PASS     M4   Multi/ReverseWah/Wah2                         5.2     0     0    957  102  
PASS     M5   Multi/MultiTapDelay/Multi3                    5.2     0     0    957  286  
PASS     S1   SoundDSP/Enhancer/Enhancer4                   5.2     0     0   1070  158  
PASS     S1   SoundDSP/ParametricEQ/Treble Boost            5.2     0     0   1082  306  
PASS     S1   SoundDSP/RingModulator/Ring Mod.1             5.2     0     0   1037  509  
PASS     S2   SoundDSP/Vibrato/Vibrato5                     5.2     0     0   1080  198  
PASS     S2   SoundDSP/Tremolo/Tremolo1                     5.2     0     0   1066  540  
PASS     S3   SoundDSP/RotarySpeaker/Mellow Twin            5.2     0     0    935  604  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 3              5.2     0     0   1036  248  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 4              5.2     0     0    999  248  
PASS     S4   SoundDSP/Flanger/Deep1                        5.2     0     0    926  691  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 6               5.2     0     0   1094  222  
PASS     S4   SoundDSP/Phaser/Deep2                         5.2     0     0    938  222  
PASS     S4   SoundDSP/Phaser/Deep8                         5.2     0     0    911  222  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.4                5.2     0     0   1083  186  
PASS     S5   SoundDSP/Celeste/Celeste1                     5.2     0     0    958  594  
PASS     R1   Reverb/Plate1                                 5.2     0     0   1194    0  
PASS     M2   Multi/DistortedAmp/Loud2                      5.1     0     0    898  633  
PASS     M4   Multi/LFOWah/For 4Beat 2                      5.1     0     0    898  210  
