# KN7000 self-loaded library ROM (0x4C000000) entry points called by the firmware
# NOTE: 0x4C000000 is NOT undumped -- the boot copies this code from the program
# flash (0x487B8FD1..) into 0x8C000000, aliased to 0x4C000000. See library-rom-loading.md.
# address     calls  distinct_call_sites
0x4C000005     20  20
0x4C0002B8     19  19
0x4C000316      2  2
0x4C000523     82  82
0x4C000582     85  85
0x4C000593     93  93
0x4C0007E7     24  24
0x4C000856     10  10
0x4C000879    125  125
0x4C000B1C    142  142
0x4C000F54     11  11
0x4C001051      4  4
0x4C0012C0     11  11
0x4C001417      1  1
0x4C001477      1  1
0x4C0014D4      9  9
0x4C0014EB      7  7
0x4C001519      1  1
0x4C001579      1  1
0x4C0015D1      1  1
0x4C001629     12  12
0x4C00163F      4  4
0x4C00165B      4  4
0x4C0016AC      1  1
0x4C0016B5      4  4
0x4C00177A     20  20
0x4C0019D5   1107  1107
0x4C0019F2      2  2
0x4C0019FB      1  1
0x4C001A12      3  3
0x4C001A48   1201  1201
0x4C00203C     21  21
0x4C002B4E      7  7
0x4C002B5C     15  15
0x4C003024    185  185
0x4C003039    488  488
0x4C003051   1034  1034
0x4C0030EB     31  31
0x4C003162      1  1
0x4C003243      2  2
0x4C00324F      8  8
0x4C0032D1      2  2
0x4C0032F7    182  182
0x4C003311     48  48
0x4C00333F      8  8
0x4C003488     16  16
0x4C0034BF      4  4
0x4C0034CC      3  3
0x4C003678     20  20
0x4C00369F      4  4
0x4C0036EA      9  9
0x4C003715     10  10
0x4C003799      3  3
0x4C0037F3      7  7
0x4C003987     92  92
0x4C0039B5     17  17
0x4C0039EB     97  97
0x4C003A65     32  32
0x4C003F26      1  1
0x4C003F37      1  1
0x4C009AB5      6  6
0x4C009BC8      5  5
0x4C00A31C      1  1
0x4C00A335      1  1
0x4C00C233      1  1
0x4C00C28F      3  3
0x4C00C2BF      1  1
0x4C00C2C8      1  1
0x4C00C2FB      1  1
0x4C00E8CD      5  5
0x4C00E98F      4  4
0x4C00EA49     12  12
0x4C00ECA3      1  1
0x4C00ED25      1  1
0x4C00F12F      1  1
0x4C00F39C      2  2
0x4C014221     28  28
0x4C0144E1      4  4
0x4C014671     18  18
0x4C014755      1  1
0x4C014948     97  97
0x4C0149FA   1008  1008
0x4C014A18     31  31
0x4C014A36      1  1
0x4C014A56    197  197
0x4C014B52     27  27
0x4C014B94     11  11
0x4C014D98      8  8
0x4C014DBB      3  3
0x4C014E7A      2  2
0x4C014EB5      1  1
0x4C014EC4      1  1
0x4C014EF8      2  2
0x4C014FDA      2  2
0x4C01A4FB      1  1
0x4C01BC28      3  3
0x4C01BDA3      2  2
0x4C01BEE8      5  5
0x4C01D179      1  1
0x4C01D1A3      2  2
0x4C01D887      4  4
0x4C01D89B      1  1
0x4C01D8F4     13  13
0x4C01D908      2  2
0x4C01D95E     14  14
0x4C01D96A      1  1
0x4C01D97B     10  10
0x4C01D9A8      2  2
0x4C01D9B4      1  1
0x4C01DA17      2  2
0x4C01DA23      1  1
0x4C01DA65      3  3
0x4C01DAD2      3  3
0x4C01DD75      4  4
0x4C01DE0A      3  3
0x4C01E108     17  17
0x4C01E256      9  9
0x4C01E520      2  2
0x4C01E535      2  2
0x4C01E5F6      2  2
0x4C01E794      1  1
