kn5000_subcpu_boot.ic30 ROM NEEDS REDUMP
kn5000_rhythm_data_rom.ic14 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
WARNING: the machine might not run correctly.
P9 demo engaged at t=23.97
P9 t=135 transport=04 subtick=1D wd=00 acc=03 8d38=E4
P9 t=136 transport=04 subtick=4C wd=00 acc=03 8d38=E4
P9 t=137 transport=04 subtick=1E wd=00 acc=03 8d38=E4
P9 t=138 transport=04 subtick=4D wd=00 acc=03 8d38=E4
P9 t=139 transport=04 subtick=1C wd=00 acc=03 8d38=E4
P9 ★ transport LEFT 0x04 at t=139.48 -> 0x0C
P9 t=140 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=141 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=142 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=143 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=144 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=145 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=146 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=147 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=148 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=149 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=150 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=151 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=152 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=153 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=154 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=155 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=156 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=157 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=158 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=159 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=160 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=161 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=162 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=163 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=164 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=165 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=166 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=167 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=168 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=169 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=170 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=171 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=172 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=173 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=174 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=175 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=176 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=177 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=178 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=179 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=180 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=181 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=182 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=183 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=184 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=185 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=186 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=187 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=188 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=189 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=190 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=191 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=192 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=193 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=194 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=195 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=196 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=197 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=198 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=199 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=200 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=201 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=202 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=203 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=204 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=205 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=206 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=207 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=208 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=209 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=210 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=211 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=212 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=213 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=214 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=215 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=216 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=217 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=218 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=219 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=220 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=221 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=222 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=223 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=224 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=225 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=226 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=227 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=228 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=229 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=230 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=231 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=232 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=233 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=234 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=235 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=236 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=237 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=238 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=239 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=240 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=241 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=242 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=243 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=244 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=245 transport=00 subtick=18 wd=00 acc=00 8d38=E4
