kn5000_subcpu_boot.ic30 ROM NEEDS REDUMP
kn5000_rhythm_data_rom.ic14 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
WARNING: the machine might not run correctly.
P9 observing only -- no navigation
P9 t=20 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=21 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=22 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=23 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=24 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=25 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=26 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=27 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=28 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=29 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=30 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=31 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=32 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=33 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=34 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=35 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=36 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=37 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=38 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=39 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=40 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=41 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=42 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=43 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=44 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=45 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=46 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=47 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=48 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=49 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=50 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=51 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=52 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=53 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=54 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=55 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=56 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=57 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=58 transport=00 subtick=00 wd=00 acc=00 8d38=01
